รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง,ช่วงเวลา
ENGCE122_sec1,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_101,theory,พฤหัสบดี,9,พฤหัสบดี_9
ENGCE110_sec1,computer and data,อ.พิชิต ทนันชัย,ทค1_302,theory,พฤหัสบดี,10,พฤหัสบดี_10
ENGCE122_sec1,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_101,theory,พฤหัสบดี,10,พฤหัสบดี_10
ENGCE110_sec1,computer and data,อ.พิชิต ทนันชัย,ทค1_302,theory,พฤหัสบดี,11,พฤหัสบดี_11
ENGCE122_sec1,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_101,theory,พฤหัสบดี,11,พฤหัสบดี_11
ENGCE110_sec1,computer and data,อ.พิชิต ทนันชัย,ทค1_302,theory,พฤหัสบดี,12,พฤหัสบดี_12
ENGCE106_sec2,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,พฤหัสบดี,13,พฤหัสบดี_13
ENGCE106_sec2,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,พฤหัสบดี,14,พฤหัสบดี_14
ENGCE106_sec2,data communication,อ.อนุพงศ ไพโรจน,ทค2_301,theory,พฤหัสบดี,15,พฤหัสบดี_15
ENGCE109_sec1_lab,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,lab,พฤหัสบดี,17,พฤหัสบดี_17
ENGCE113_sec1,pre-project,อ.อนันท ทับเกิด,ทค1_202,theory,พฤหัสบดี,17,พฤหัสบดี_17
ENGEE105_secsec1_lab,คอม,บิว,ทค2_201,lab,พฤหัสบดี,17,พฤหัสบดี_17
ENGCE109_sec1_lab,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,lab,พฤหัสบดี,18,พฤหัสบดี_18
ENGCE113_sec1,pre-project,อ.อนันท ทับเกิด,ทค1_202,theory,พฤหัสบดี,18,พฤหัสบดี_18
ENGCE128_sec1_lab,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_205,lab,พฤหัสบดี,18,พฤหัสบดี_18
ENGEE105_secsec1_lab,คอม,บิว,ทค2_201,lab,พฤหัสบดี,18,พฤหัสบดี_18
ENGCE113_sec1,pre-project,อ.อนันท ทับเกิด,ทค1_202,theory,พฤหัสบดี,19,พฤหัสบดี_19
ENGCE128_sec1_lab,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_205,lab,พฤหัสบดี,19,พฤหัสบดี_19
ENGCC304_sec2,computer programming,อ.ยุพดี หัตถสิน,ทค1_201,theory,ศุกร์,10,ศุกร์_10
ENGCC304_sec2,computer programming,อ.ยุพดี หัตถสิน,ทค1_201,theory,ศุกร์,11,ศุกร์_11
ENGCC304_sec2,computer programming,อ.ยุพดี หัตถสิน,ทค1_201,theory,ศุกร์,12,ศุกร์_12
ENGCE106_sec1_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,ศุกร์,12,ศุกร์_12
ENGCE106_sec1_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,ศุกร์,13,ศุกร์_13
กีฬา,กีฬา,N/A,N/A,activity,ศุกร์,15,ศุกร์_15
กีฬา,กีฬา,N/A,N/A,activity,ศุกร์,16,ศุกร์_16
ENGCE109_sec1,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,ศุกร์,17,ศุกร์_17
ENGCE110_sec1_lab,computer and data,อ.พิชิต ทนันชัย,ทค1_301,lab,ศุกร์,17,ศุกร์_17
ENGCE111_sec1,intro database,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_101,theory,ศุกร์,17,ศุกร์_17
ENGCE117_sec1_lab,com programming,อ.กิตตินันท น้อยมณี,ทค2_201,lab,ศุกร์,17,ศุกร์_17
ENGCE117_sec2_lab,com programming,อ.อนันท ทับเกิด,ทค1_101,lab,ศุกร์,17,ศุกร์_17
ENGCE125_sec2,OS,อ.ปณต พุกกะพันธุ์,ทค1_205,theory,ศุกร์,17,ศุกร์_17
ENGCE109_sec1,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,ศุกร์,18,ศุกร์_18
ENGCE110_sec1_lab,computer and data,อ.พิชิต ทนันชัย,ทค1_301,lab,ศุกร์,18,ศุกร์_18
ENGCE111_sec1,intro database,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_101,theory,ศุกร์,18,ศุกร์_18
ENGCE117_sec1_lab,com programming,อ.กิตตินันท น้อยมณี,ทค2_201,lab,ศุกร์,18,ศุกร์_18
ENGCE117_sec2_lab,com programming,อ.อนันท ทับเกิด,ทค1_101,lab,ศุกร์,18,ศุกร์_18
ENGCE125_sec2,OS,อ.ปณต พุกกะพันธุ์,ทค1_205,theory,ศุกร์,18,ศุกร์_18
ENGCE109_sec1,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,ศุกร์,19,ศุกร์_19
ENGCE111_sec1,intro database,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_101,theory,ศุกร์,19,ศุกร์_19
ENGCE125_sec2,OS,อ.ปณต พุกกะพันธุ์,ทค1_205,theory,ศุกร์,19,ศุกร์_19
ENGCE115_sec1_lab,co-op,อ.กิตตินันท น้อยมณี,ทค1_205,lab,เสาร์,15,เสาร์_15
ENGCE115_sec1_lab,co-op,อ.กิตตินันท น้อยมณี,ทค1_205,lab,เสาร์,16,เสาร์_16
ENGCE112_sec1_lab,solfware design,อ.ธนิต เกตุแก้ว,ทค2_101,lab,เสาร์,17,เสาร์_17
ENGCE112_sec1_lab,solfware design,อ.ธนิต เกตุแก้ว,ทค2_101,lab,เสาร์,18,เสาร์_18
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค1_101,theory,อาทิตย์,8,อาทิตย์_8
ENGCE125_sec2_lab,OS,อ.ปณต พุกกะพันธุ์,ทค2_201,lab,อาทิตย์,8,อาทิตย์_8
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค1_101,theory,อาทิตย์,9,อาทิตย์_9
ENGCE125_sec2_lab,OS,อ.ปณต พุกกะพันธุ์,ทค2_201,lab,อาทิตย์,9,อาทิตย์_9
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค1_101,theory,อาทิตย์,10,อาทิตย์_10
ENGCE128_sec1,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_201,theory,อาทิตย์,13,อาทิตย์_13
ENGCE128_sec1,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_201,theory,อาทิตย์,14,อาทิตย์_14
ENGCE128_sec1,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_201,theory,อาทิตย์,15,อาทิตย์_15
